BioSample,LibraryName,Run,fq1,fq2,refGenome,refPath
WT-DsimwRi-line5A,5a,1,/hb/home/cmirchan/fly-data/WT-DsimwRi-line5A_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line5A_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line5B,5b,2,/hb/home/cmirchan/fly-data/WT-DsimwRi-line5B_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line5B_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line6A,6a,3,/hb/home/cmirchan/fly-data/WT-DsimwRi-line6A_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line6A_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line6B,6b,4,/hb/home/cmirchan/fly-data/WT-DsimwRi-line6B_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line6B_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line7A,7a,5,/hb/home/cmirchan/fly-data/WT-DsimwRi-line7A_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line7A_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line7B,7b,6,/hb/home/cmirchan/fly-data/WT-DsimwRi-line7B_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line7B_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line8A,8a,7,/hb/home/cmirchan/fly-data/WT-DsimwRi-line8A_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line8A_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
WT-DsimwRi-line8B,8b,8,/hb/home/cmirchan/fly-data/WT-DsimwRi-line8B_R1.fastq.gz,/hb/home/cmirchan/fly-data/WT-DsimwRi-line8B_R2.fastq.gz,dsim3_1strw501_wri_wmel,/hb/home/cmirchan/fly-data/Dsim3.1strw501_wRi_wMel.fna
